2024-08-01 16:13:34,578 - Training started for class: carpet
2024-08-01 17:02:45,476 - Epoch [80/200], Loss: 0.2208
2024-08-01 17:03:39,707 - Pixel Auroc: 0.987, Sample Auroc: 0.998, Pixel Aupro: 0.987
2024-08-01 17:04:11,488 - Epoch [81/200], Loss: 0.2206
2024-08-01 17:04:43,441 - Epoch [82/200], Loss: 0.2206
2024-08-01 17:05:15,672 - Epoch [83/200], Loss: 0.2206
2024-08-01 17:05:46,441 - Epoch [84/200], Loss: 0.2205
2024-08-01 17:06:18,711 - Epoch [85/200], Loss: 0.2205
2024-08-01 17:06:59,216 - Epoch [86/200], Loss: 0.2209
2024-08-01 17:07:46,434 - Epoch [87/200], Loss: 0.2208
2024-08-01 17:08:31,067 - Epoch [88/200], Loss: 0.2207
2024-08-01 17:09:14,444 - Epoch [89/200], Loss: 0.2209
2024-08-01 17:10:05,698 - Epoch [90/200], Loss: 0.2205
2024-08-01 17:11:09,618 - Pixel Auroc: 0.987, Sample Auroc: 0.998, Pixel Aupro: 0.987
2024-08-01 17:12:00,308 - Epoch [91/200], Loss: 0.2208
2024-08-01 17:12:44,101 - Epoch [92/200], Loss: 0.2205
2024-08-01 17:13:30,413 - Epoch [93/200], Loss: 0.2206
2024-08-01 17:14:19,462 - Epoch [94/200], Loss: 0.2205
2024-08-01 17:15:03,537 - Epoch [95/200], Loss: 0.2208
2024-08-01 17:15:47,722 - Epoch [96/200], Loss: 0.2205
2024-08-01 17:16:30,755 - Epoch [97/200], Loss: 0.2205
2024-08-01 17:17:15,640 - Epoch [98/200], Loss: 0.2209
2024-08-01 17:18:02,807 - Epoch [99/200], Loss: 0.2207
