2024-08-05 16:11:39,841 - Training started for class: carpet
2024-08-05 17:07:05,724 - Epoch [80/200], Loss: 0.3028
2024-08-05 17:07:57,322 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 17:08:40,023 - Epoch [81/200], Loss: 0.3009
2024-08-05 17:09:20,866 - Epoch [82/200], Loss: 0.3001
2024-08-05 17:09:59,264 - Epoch [83/200], Loss: 0.2986
2024-08-05 17:10:38,842 - Epoch [84/200], Loss: 0.2997
2024-08-05 17:11:19,010 - Epoch [85/200], Loss: 0.4148
2024-08-05 17:11:52,217 - Epoch [86/200], Loss: 0.3611
2024-08-05 17:12:20,579 - Epoch [87/200], Loss: 0.3515
2024-08-05 17:12:58,904 - Epoch [88/200], Loss: 0.3477
2024-08-05 17:13:39,427 - Epoch [89/200], Loss: 0.3425
2024-08-05 17:14:17,966 - Epoch [90/200], Loss: 0.3392
2024-08-05 17:15:31,126 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.973
2024-08-05 17:16:02,892 - Epoch [91/200], Loss: 0.3383
2024-08-05 17:16:33,041 - Epoch [92/200], Loss: 0.3353
2024-08-05 17:17:08,659 - Epoch [93/200], Loss: 0.3327
2024-08-05 17:17:49,075 - Epoch [94/200], Loss: 0.3325
2024-08-05 17:18:28,074 - Epoch [95/200], Loss: 0.3314
2024-08-05 17:19:06,674 - Epoch [96/200], Loss: 0.3341
2024-08-05 17:19:45,818 - Epoch [97/200], Loss: 0.3292
2024-08-05 17:20:15,650 - Epoch [98/200], Loss: 0.3301
2024-08-05 17:20:43,907 - Epoch [99/200], Loss: 0.3458
2024-08-05 17:21:22,053 - Epoch [100/200], Loss: 0.3349
2024-08-05 17:22:35,851 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 17:23:18,804 - Epoch [101/200], Loss: 0.3302
2024-08-05 17:23:55,629 - Epoch [102/200], Loss: 0.3268
2024-08-05 17:24:23,244 - Epoch [103/200], Loss: 0.3251
2024-08-05 17:24:52,875 - Epoch [104/200], Loss: 0.3230
2024-08-05 17:25:32,721 - Epoch [105/200], Loss: 0.3215
2024-08-05 17:26:12,327 - Epoch [106/200], Loss: 0.3199
2024-08-05 17:26:51,959 - Epoch [107/200], Loss: 0.3463
2024-08-05 17:27:29,543 - Epoch [108/200], Loss: 0.3481
2024-08-05 17:28:09,246 - Epoch [109/200], Loss: 0.3291
2024-08-05 17:28:39,682 - Epoch [110/200], Loss: 0.3233
2024-08-05 17:29:38,188 - Pixel Auroc: 0.989, Sample Auroc: 1.000, Pixel Aupro: 0.971
2024-08-05 17:30:22,744 - Epoch [111/200], Loss: 0.3216
2024-08-05 17:31:00,246 - Epoch [112/200], Loss: 0.3185
2024-08-05 17:31:38,913 - Epoch [113/200], Loss: 0.3173
2024-08-05 17:32:17,986 - Epoch [114/200], Loss: 0.3153
2024-08-05 17:32:45,485 - Epoch [115/200], Loss: 0.3132
2024-08-05 17:33:17,261 - Epoch [116/200], Loss: 0.3121
2024-08-05 17:33:57,239 - Epoch [117/200], Loss: 0.3110
2024-08-05 17:34:34,748 - Epoch [118/200], Loss: 0.3099
2024-08-05 17:35:13,562 - Epoch [119/200], Loss: 0.3147
2024-08-05 17:35:53,238 - Epoch [120/200], Loss: 0.3081
2024-08-05 17:36:46,625 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.971
2024-08-05 17:37:26,678 - Epoch [121/200], Loss: 0.3063
2024-08-05 17:38:03,326 - Epoch [122/200], Loss: 0.3057
2024-08-05 17:38:41,993 - Epoch [123/200], Loss: 0.3040
2024-08-05 17:39:22,193 - Epoch [124/200], Loss: 0.3038
2024-08-05 17:40:01,302 - Epoch [125/200], Loss: 0.3016
2024-08-05 17:40:36,202 - Epoch [126/200], Loss: 0.3018
2024-08-05 17:41:04,200 - Epoch [127/200], Loss: 0.2996
2024-08-05 17:41:38,575 - Epoch [128/200], Loss: 0.2988
2024-08-05 17:42:16,267 - Epoch [129/200], Loss: 0.2978
2024-08-05 17:42:56,377 - Epoch [130/200], Loss: 0.2973
2024-08-05 17:44:09,520 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.971
2024-08-05 17:44:44,481 - Epoch [131/200], Loss: 0.2964
2024-08-05 17:45:12,537 - Epoch [132/200], Loss: 0.2944
2024-08-05 17:45:40,538 - Epoch [133/200], Loss: 0.2943
2024-08-05 17:46:11,572 - Epoch [134/200], Loss: 0.2998
2024-08-05 17:46:40,272 - Epoch [135/200], Loss: 0.2970
2024-08-05 17:47:08,218 - Epoch [136/200], Loss: 0.2935
2024-08-05 17:47:40,243 - Epoch [137/200], Loss: 0.2921
2024-08-05 17:48:11,282 - Epoch [138/200], Loss: 0.2916
2024-08-05 17:48:39,522 - Epoch [139/200], Loss: 0.2908
2024-08-05 17:49:12,911 - Epoch [140/200], Loss: 0.2909
2024-08-05 17:50:17,974 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.970
2024-08-05 17:50:53,245 - Epoch [141/200], Loss: 0.2898
2024-08-05 17:51:23,951 - Epoch [142/200], Loss: 0.2879
2024-08-05 17:51:51,877 - Epoch [143/200], Loss: 0.2875
2024-08-05 17:52:20,692 - Epoch [144/200], Loss: 0.2866
2024-08-05 17:52:47,622 - Epoch [145/200], Loss: 0.2854
2024-08-05 17:53:15,292 - Epoch [146/200], Loss: 0.2853
2024-08-05 17:53:46,258 - Epoch [147/200], Loss: 0.2832
2024-08-05 17:54:15,500 - Epoch [148/200], Loss: 0.2824
2024-08-05 17:54:43,313 - Epoch [149/200], Loss: 0.2828
2024-08-05 17:55:14,713 - Epoch [150/200], Loss: 0.2820
2024-08-05 17:56:21,992 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 17:56:55,937 - Epoch [151/200], Loss: 0.2813
2024-08-05 17:57:24,831 - Epoch [152/200], Loss: 0.2803
2024-08-05 17:57:55,665 - Epoch [153/200], Loss: 0.2798
2024-08-05 17:58:26,318 - Epoch [154/200], Loss: 0.3009
2024-08-05 17:58:57,752 - Epoch [155/200], Loss: 0.2902
2024-08-05 17:59:27,654 - Epoch [156/200], Loss: 0.2927
2024-08-05 17:59:56,325 - Epoch [157/200], Loss: 0.2831
2024-08-05 18:00:24,156 - Epoch [158/200], Loss: 0.2805
2024-08-05 18:00:53,464 - Epoch [159/200], Loss: 0.2863
2024-08-05 18:01:23,341 - Epoch [160/200], Loss: 0.3133
2024-08-05 18:02:30,203 - Pixel Auroc: 0.990, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 18:03:02,997 - Epoch [161/200], Loss: 0.2885
2024-08-05 18:03:31,783 - Epoch [162/200], Loss: 0.2837
2024-08-05 18:04:03,184 - Epoch [163/200], Loss: 0.2805
2024-08-05 18:04:34,648 - Epoch [164/200], Loss: 0.2791
2024-08-05 18:05:04,044 - Epoch [165/200], Loss: 0.3167
2024-08-05 18:05:35,712 - Epoch [166/200], Loss: 0.2926
2024-08-05 18:06:09,447 - Epoch [167/200], Loss: 0.2871
2024-08-05 18:06:40,893 - Epoch [168/200], Loss: 0.2840
2024-08-05 18:07:09,589 - Epoch [169/200], Loss: 0.2818
2024-08-05 18:07:38,592 - Epoch [170/200], Loss: 0.2807
2024-08-05 18:08:27,014 - Pixel Auroc: 0.991, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 18:09:01,248 - Epoch [171/200], Loss: 0.2798
2024-08-05 18:09:31,198 - Epoch [172/200], Loss: 0.2828
2024-08-05 18:10:01,618 - Epoch [173/200], Loss: 0.2804
2024-08-05 18:10:32,822 - Epoch [174/200], Loss: 0.2778
2024-08-05 18:11:03,781 - Epoch [175/200], Loss: 0.2759
2024-08-05 18:11:34,968 - Epoch [176/200], Loss: 0.2750
2024-08-05 18:12:04,796 - Epoch [177/200], Loss: 0.2740
2024-08-05 18:12:32,511 - Epoch [178/200], Loss: 0.2731
2024-08-05 18:13:03,696 - Epoch [179/200], Loss: 0.2731
2024-08-05 18:13:35,079 - Epoch [180/200], Loss: 0.2723
2024-08-05 18:14:40,028 - Pixel Auroc: 0.991, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 18:15:10,962 - Epoch [181/200], Loss: 0.2719
2024-08-05 18:15:38,215 - Epoch [182/200], Loss: 0.2705
2024-08-05 18:16:08,801 - Epoch [183/200], Loss: 0.2700
2024-08-05 18:16:40,141 - Epoch [184/200], Loss: 0.2725
2024-08-05 18:17:10,782 - Epoch [185/200], Loss: 0.2749
2024-08-05 18:17:41,763 - Epoch [186/200], Loss: 0.2695
2024-08-05 18:18:10,355 - Epoch [187/200], Loss: 0.2685
2024-08-05 18:18:42,338 - Epoch [188/200], Loss: 0.2682
2024-08-05 18:19:12,843 - Epoch [189/200], Loss: 0.2680
2024-08-05 18:19:43,888 - Epoch [190/200], Loss: 0.2679
2024-08-05 18:20:48,225 - Pixel Auroc: 0.991, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 18:21:20,271 - Epoch [191/200], Loss: 0.2666
2024-08-05 18:21:52,358 - Epoch [192/200], Loss: 0.2693
2024-08-05 18:22:21,458 - Epoch [193/200], Loss: 0.2672
2024-08-05 18:22:48,777 - Epoch [194/200], Loss: 0.2670
2024-08-05 18:23:16,000 - Epoch [195/200], Loss: 0.2658
2024-08-05 18:23:45,271 - Epoch [196/200], Loss: 0.2645
2024-08-05 18:24:17,077 - Epoch [197/200], Loss: 0.2635
2024-08-05 18:24:48,610 - Epoch [198/200], Loss: 0.2635
2024-08-05 18:25:19,358 - Epoch [199/200], Loss: 0.2629
2024-08-05 18:25:50,681 - Epoch [200/200], Loss: 0.2628
2024-08-05 18:26:57,040 - Pixel Auroc: 0.991, Sample Auroc: 1.000, Pixel Aupro: 0.972
2024-08-05 18:27:01,711 - Training started for class: bottle
2024-08-05 18:27:30,581 - Epoch [1/200], Loss: 1.4920
2024-08-05 18:27:53,163 - Epoch [2/200], Loss: 0.8567
2024-08-05 18:28:16,912 - Epoch [3/200], Loss: 0.6613
2024-08-05 18:28:38,979 - Epoch [4/200], Loss: 0.5739
2024-08-05 18:29:01,164 - Epoch [5/200], Loss: 0.5273
2024-08-05 18:29:23,421 - Epoch [6/200], Loss: 0.4974
2024-08-05 18:29:46,036 - Epoch [7/200], Loss: 0.4801
2024-08-05 18:30:08,707 - Epoch [8/200], Loss: 0.4700
2024-08-05 18:30:26,400 - Epoch [9/200], Loss: 0.4938
2024-08-05 18:30:43,827 - Epoch [10/200], Loss: 0.5645
2024-08-05 18:31:16,918 - Pixel Auroc: 0.620, Sample Auroc: 0.344, Pixel Aupro: 0.208
2024-08-05 18:31:39,223 - Epoch [11/200], Loss: 0.5648
2024-08-05 18:32:01,853 - Epoch [12/200], Loss: 0.4537
2024-08-05 18:32:23,873 - Epoch [13/200], Loss: 0.5327
2024-08-05 18:32:45,722 - Epoch [14/200], Loss: 0.4855
2024-08-05 18:33:09,079 - Epoch [15/200], Loss: 0.4047
2024-08-05 18:33:30,061 - Epoch [16/200], Loss: 0.4068
2024-08-05 18:33:51,577 - Epoch [17/200], Loss: 0.3633
2024-08-05 18:34:14,176 - Epoch [18/200], Loss: 0.3871
2024-08-05 18:34:38,383 - Epoch [19/200], Loss: 0.4426
2024-08-05 18:34:59,823 - Epoch [20/200], Loss: 0.4965
2024-08-05 18:35:48,769 - Pixel Auroc: 0.735, Sample Auroc: 0.875, Pixel Aupro: 0.560
2024-08-05 18:36:15,909 - Epoch [21/200], Loss: 0.4732
2024-08-05 18:36:37,220 - Epoch [22/200], Loss: 0.5758
2024-08-05 18:36:59,138 - Epoch [23/200], Loss: 0.5671
2024-08-05 18:37:21,234 - Epoch [24/200], Loss: 0.4317
2024-08-05 18:37:42,117 - Epoch [25/200], Loss: 0.3710
2024-08-05 18:38:04,810 - Epoch [26/200], Loss: 0.6836
2024-08-05 18:38:25,777 - Epoch [27/200], Loss: 0.5754
2024-08-05 18:38:43,570 - Epoch [28/200], Loss: 0.4848
2024-08-05 18:39:01,092 - Epoch [29/200], Loss: 0.4837
2024-08-05 18:39:18,186 - Epoch [30/200], Loss: 0.4135
2024-08-05 18:40:00,601 - Pixel Auroc: 0.626, Sample Auroc: 0.533, Pixel Aupro: 0.411
2024-08-05 18:40:28,085 - Epoch [31/200], Loss: 0.4589
2024-08-05 18:40:51,025 - Epoch [32/200], Loss: 0.4094
2024-08-05 18:41:15,950 - Epoch [33/200], Loss: 0.3717
2024-08-05 18:41:38,009 - Epoch [34/200], Loss: 0.3620
2024-08-05 18:41:58,663 - Epoch [35/200], Loss: 0.3753
2024-08-05 18:42:21,638 - Epoch [36/200], Loss: 0.5985
2024-08-05 18:42:44,258 - Epoch [37/200], Loss: 0.4392
2024-08-05 18:43:05,768 - Epoch [38/200], Loss: 0.3681
2024-08-05 18:43:27,906 - Epoch [39/200], Loss: 0.3327
2024-08-05 18:43:48,966 - Epoch [40/200], Loss: 0.3129
2024-08-05 18:44:37,155 - Pixel Auroc: 0.945, Sample Auroc: 0.966, Pixel Aupro: 0.868
2024-08-05 18:45:03,701 - Epoch [41/200], Loss: 0.2900
2024-08-05 18:45:26,797 - Epoch [42/200], Loss: 0.2741
2024-08-05 18:45:49,632 - Epoch [43/200], Loss: 0.3140
2024-08-05 18:46:12,557 - Epoch [44/200], Loss: 0.2916
2024-08-05 18:46:34,503 - Epoch [45/200], Loss: 0.3445
2024-08-05 18:46:54,873 - Epoch [46/200], Loss: 0.2819
2024-08-05 18:47:12,199 - Epoch [47/200], Loss: 0.2590
2024-08-05 18:47:29,388 - Epoch [48/200], Loss: 0.2554
2024-08-05 18:47:46,557 - Epoch [49/200], Loss: 0.3273
2024-08-05 18:48:06,901 - Epoch [50/200], Loss: 0.3416
2024-08-05 18:48:56,747 - Pixel Auroc: 0.745, Sample Auroc: 0.582, Pixel Aupro: 0.473
2024-08-05 18:49:22,363 - Epoch [51/200], Loss: 0.3824
2024-08-05 18:49:44,238 - Epoch [52/200], Loss: 0.3137
2024-08-05 18:50:05,623 - Epoch [53/200], Loss: 0.2963
2024-08-05 18:50:27,842 - Epoch [54/200], Loss: 0.2936
2024-08-05 18:50:51,109 - Epoch [55/200], Loss: 0.2751
2024-08-05 18:51:13,288 - Epoch [56/200], Loss: 0.2532
2024-08-05 18:51:33,121 - Epoch [57/200], Loss: 0.2505
2024-08-05 18:51:57,233 - Epoch [58/200], Loss: 0.2473
2024-08-05 18:52:19,759 - Epoch [59/200], Loss: 0.5838
